Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	negative regulation of cellular response to growth factor stimulus (GO:0090288)	5/80	8.081251e-03	4.975937e-02	0	0	4.287432e+00	2.065774e+01	BMP2;SPRY4;AGTR2;THBS1;FSTL3
GO_Biological_Process_2021	positive regulation of cell adhesion (GO:0045785)	5/80	8.081251e-03	4.975937e-02	0	0	4.287432e+00	2.065774e+01	PDGFB;AGR2;LIF;IL12A;FSTL3
GO_Biological_Process_2021	regulation of cardiac muscle cell contraction (GO:0086004)	3/27	8.190437e-03	4.994792e-02	0	0	8.007329e+00	3.847352e+01	PDE4B;STC1;DSG2
GO_Biological_Process_2021	response to glucocorticoid (GO:0051384)	3/27	8.190437e-03	4.994792e-02	0	0	8.007329e+00	3.847352e+01	ZFP36;IL6;FAM107A
GO_Biological_Process_2021	positive regulation of BMP signaling pathway (GO:0030513)	3/27	8.190437e-03	4.994792e-02	0	0	8.007329e+00	3.847352e+01	ACVRL1;BMP4;CDH5
GO_Biological_Process_2021	positive regulation of gene silencing by miRNA (GO:2000637)	3/27	8.190437e-03	4.994792e-02	0	0	8.007329e+00	3.847352e+01	BMP4;ZFP36;IL6
GO_Biological_Process_2021	regulation of interleukin-8 production (GO:0032677)	5/81	8.506429e-03	5.162732e-02	0	0	4.230802e+00	2.016795e+01	IL6;IL1B;SERPINE1;TLR7;KLF4
GO_Biological_Process_2021	positive regulation of tumor necrosis factor superfamily cytokine production (GO:1903557)	5/81	8.506429e-03	5.162732e-02	0	0	4.230802e+00	2.016795e+01	IL6;AGER;THBS1;CCR2;PF4
GO_Biological_Process_2021	negative regulation of cell motility (GO:2000146)	6/114	8.719118e-03	5.279218e-02	0	0	3.578582e+00	1.697048e+01	ACVRL1;CLDN5;SERPINE1;STC1;CX3CL1;RHOB
GO_Biological_Process_2021	regulation of calcineurin-NFAT signaling cascade (GO:0070884)	3/28	9.069600e-03	5.439621e-02	0	0	7.686645e+00	3.614896e+01	CAMTA1;IGF1;LMCD1
GO_Biological_Process_2021	leukocyte cell-cell adhesion (GO:0007159)	3/28	9.069600e-03	5.439621e-02	0	0	7.686645e+00	3.614896e+01	CLEC4M;SELE;ICAM1
GO_Biological_Process_2021	positive regulation of fibroblast proliferation (GO:0048146)	3/28	9.069600e-03	5.439621e-02	0	0	7.686645e+00	3.614896e+01	SPHK1;PDGFB;IGF1
GO_Biological_Process_2021	positive regulation of monooxygenase activity (GO:0032770)	3/28	9.069600e-03	5.439621e-02	0	0	7.686645e+00	3.614896e+01	CDH3;IL1B;AGTR2
GO_Biological_Process_2021	regulation of osteoblast differentiation (GO:0045667)	5/83	9.402759e-03	5.626168e-02	0	0	4.121900e+00	1.923589e+01	BMP4;BMP2;IL6;IGF1;FGFR2
GO_Biological_Process_2021	neutrophil mediated immunity (GO:0002446)	15/488	9.524013e-03	5.685344e-02	0	0	2.065826e+00	9.614227e+00	SERPINB1;IDH1;CTSZ;FPR1;HBB;GGH;SLC2A3;PTPRB;IL6;PRDX4;CEACAM6;NPC2;S100A12;PTX3;CTSC
GO_Biological_Process_2021	regulation of focal adhesion assembly (GO:0051893)	4/54	9.746605e-03	5.728531e-02	0	0	5.134641e+00	2.377768e+01	ACVRL1;FAM107A;THBS1;GPM6B
GO_Biological_Process_2021	regulation of actin filament-based movement (GO:1903115)	2/10	9.926386e-03	5.728531e-02	0	0	1.597565e+01	7.368862e+01	PDE4B;STC1
GO_Biological_Process_2021	regulation of long-term synaptic depression (GO:1900452)	2/10	9.926386e-03	5.728531e-02	0	0	1.597565e+01	7.368862e+01	ARC;AGER
GO_Biological_Process_2021	regulation of organ growth (GO:0046620)	2/10	9.926386e-03	5.728531e-02	0	0	1.597565e+01	7.368862e+01	DUSP6;SLC6A4
GO_Biological_Process_2021	regulation of urine volume (GO:0035809)	2/10	9.926386e-03	5.728531e-02	0	0	1.597565e+01	7.368862e+01	HAS2;ADM
GO_Biological_Process_2021	response to laminar fluid shear stress (GO:0034616)	2/10	9.926386e-03	5.728531e-02	0	0	1.597565e+01	7.368862e+01	KLF4;KLF2
GO_Biological_Process_2021	I-kappaB phosphorylation (GO:0007252)	2/10	9.926386e-03	5.728531e-02	0	0	1.597565e+01	7.368862e+01	PRDX4;TLR7
GO_Biological_Process_2021	negative regulation of hormone secretion (GO:0046888)	2/10	9.926386e-03	5.728531e-02	0	0	1.597565e+01	7.368862e+01	IL1B;LIF
GO_Biological_Process_2021	negative regulation of transmembrane transport (GO:0034763)	2/10	9.926386e-03	5.728531e-02	0	0	1.597565e+01	7.368862e+01	IL1B;THBS1
GO_Biological_Process_2021	neuron remodeling (GO:0016322)	2/10	9.926386e-03	5.728531e-02	0	0	1.597565e+01	7.368862e+01	CX3CL1;RND1
GO_Biological_Process_2021	positive regulation of coagulation (GO:0050820)	2/10	9.926386e-03	5.728531e-02	0	0	1.597565e+01	7.368862e+01	SERPINE1;THBS1
GO_Biological_Process_2021	positive regulation of hemostasis (GO:1900048)	2/10	9.926386e-03	5.728531e-02	0	0	1.597565e+01	7.368862e+01	SERPINE1;THBS1
GO_Biological_Process_2021	regulation of gene expression (GO:0010468)	27/1079	9.940655e-03	5.728531e-02	0	0	1.690289e+00	7.794128e+00	ACVRL1;ZNF331;CEBPA;RAMP3;PDGFB;RORA;CDH5;CDH3;SOX17;NFIL3;STC2;MYB;PRX;AGR2;EGR1;TIPARP;IGF1;KLF4;OVOL2;BMP4;OLFM1;CLDN5;IL6;BMP2;IL1B;ERP29;PF4
GO_Biological_Process_2021	dephosphorylation (GO:0016311)	7/153	9.972679e-03	5.728531e-02	0	0	3.092545e+00	1.425016e+01	DUSP5;PTPRB;DUSP1;PTPRO;PTPN13;DUSP6;SGPP1
GO_Biological_Process_2021	hydrogen peroxide metabolic process (GO:0042743)	3/29	1.000184e-02	5.728531e-02	0	0	7.390629e+00	3.403375e+01	PRDX4;GPX3;HBB
GO_Biological_Process_2021	negative regulation of wound healing (GO:0061045)	3/29	1.000184e-02	5.728531e-02	0	0	7.390629e+00	3.403375e+01	THBD;EDN1;SERPINE1
GO_Biological_Process_2021	positive regulation of dephosphorylation (GO:0035306)	3/29	1.000184e-02	5.728531e-02	0	0	7.390629e+00	3.403375e+01	CDH5;BMP2;CAMTA1
GO_Biological_Process_2021	positive regulation of extrinsic apoptotic signaling pathway (GO:2001238)	3/29	1.000184e-02	5.728531e-02	0	0	7.390629e+00	3.403375e+01	G0S2;AGTR2;THBS1
GO_Biological_Process_2021	negative regulation of cell differentiation (GO:0045596)	8/191	1.005946e-02	5.748588e-02	0	0	2.823725e+00	1.298699e+01	FOXA1;BMP4;IL6;NOTCH4;MYB;RORA;HES1;OVOL2
GO_Biological_Process_2021	negative regulation of response to external stimulus (GO:0032102)	6/118	1.023854e-02	5.837805e-02	0	0	3.450070e+00	1.580683e+01	CDH5;SERPINE1;TNFAIP3;RORA;TRIB1;KLF4
GO_Biological_Process_2021	positive regulation of protein catabolic process (GO:0045732)	5/85	1.036208e-02	5.895027e-02	0	0	4.018443e+00	1.836268e+01	PLK3;TIPARP;IL1B;ASB9;TNFAIP3
GO_Biological_Process_2021	regulation of blood vessel endothelial cell migration (GO:0043535)	4/55	1.038566e-02	5.895253e-02	0	0	5.033705e+00	2.299059e+01	ACVRL1;PDGFB;AGTR2;THBS1
GO_Biological_Process_2021	regulation of neuron death (GO:1901214)	5/86	1.086599e-02	6.140489e-02	0	0	3.968630e+00	1.794661e+01	EGR1;GPNMB;TRIM2;CTSZ;FOS
GO_Biological_Process_2021	negative regulation of cellular amide metabolic process (GO:0034249)	5/86	1.086599e-02	6.140489e-02	0	0	3.968630e+00	1.794661e+01	SPHK1;ENC1;GZMB;IGF1;TYMS
GO_Biological_Process_2021	artery morphogenesis (GO:0048844)	3/30	1.098774e-02	6.154586e-02	0	0	7.116540e+00	3.210254e+01	BMP4;FOXF1;HES1
GO_Biological_Process_2021	regulation of long-term synaptic potentiation (GO:1900271)	3/30	1.098774e-02	6.154586e-02	0	0	7.116540e+00	3.210254e+01	ARC;FAM107A;AGER
GO_Biological_Process_2021	regulation of vasoconstriction (GO:0019229)	3/30	1.098774e-02	6.154586e-02	0	0	7.116540e+00	3.210254e+01	PER2;KCNMB4;ADM
GO_Biological_Process_2021	maintenance of blood-brain barrier (GO:0035633)	3/30	1.098774e-02	6.154586e-02	0	0	7.116540e+00	3.210254e+01	CDH5;CLDN5;IL6
GO_Biological_Process_2021	DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest (GO:0006977)	4/56	1.105121e-02	6.176536e-02	0	0	4.936652e+00	2.224068e+01	PLK3;CCNB1;PCNA;BAX
GO_Biological_Process_2021	cellular response to interferon-gamma (GO:0071346)	6/121	1.149520e-02	6.410590e-02	0	0	3.359554e+00	1.500318e+01	CCL13;MT2A;IRF1;CCL2;CX3CL1;ICAM1
GO_Biological_Process_2021	renal system development (GO:0072001)	4/57	1.174365e-02	6.452902e-02	0	0	4.843261e+00	2.152559e+01	BMP4;SOX17;FOXF1;HAS2
GO_Biological_Process_2021	negative regulation of binding (GO:0051100)	5/88	1.192349e-02	6.452902e-02	0	0	3.872605e+00	1.715272e+01	JUN;CTSZ;PDGFB;BAX;NES
GO_Biological_Process_2021	regulation of phospholipase activity (GO:0010517)	2/11	1.200895e-02	6.452902e-02	0	0	1.419986e+01	6.279322e+01	RGS2;FGFR2
GO_Biological_Process_2021	regulation of synapse maturation (GO:0090128)	2/11	1.200895e-02	6.452902e-02	0	0	1.419986e+01	6.279322e+01	CDC20;ARHGEF15
GO_Biological_Process_2021	response to sterol (GO:0036314)	2/11	1.200895e-02	6.452902e-02	0	0	1.419986e+01	6.279322e+01	RORA;CCR5
GO_Biological_Process_2021	somite development (GO:0061053)	2/11	1.200895e-02	6.452902e-02	0	0	1.419986e+01	6.279322e+01	MEOX2;MEOX1
GO_Biological_Process_2021	miRNA mediated inhibition of translation (GO:0035278)	2/11	1.200895e-02	6.452902e-02	0	0	1.419986e+01	6.279322e+01	ZFP36;NOTCH4
GO_Biological_Process_2021	vasoconstriction (GO:0042310)	2/11	1.200895e-02	6.452902e-02	0	0	1.419986e+01	6.279322e+01	EDN1;EDNRB
GO_Biological_Process_2021	monocyte differentiation (GO:0030224)	2/11	1.200895e-02	6.452902e-02	0	0	1.419986e+01	6.279322e+01	BMP4;MT1G
GO_Biological_Process_2021	negative regulation of bone remodeling (GO:0046851)	2/11	1.200895e-02	6.452902e-02	0	0	1.419986e+01	6.279322e+01	IL6;TNFAIP3
GO_Biological_Process_2021	negative regulation of platelet-derived growth factor receptor signaling pathway (GO:0010642)	2/11	1.200895e-02	6.452902e-02	0	0	1.419986e+01	6.279322e+01	NDRG4;PTGIR
GO_Biological_Process_2021	negative regulation of sprouting angiogenesis (GO:1903671)	2/11	1.200895e-02	6.452902e-02	0	0	1.419986e+01	6.279322e+01	THBS1;KLF2
GO_Biological_Process_2021	negative regulation of translation, ncRNA-mediated (GO:0040033)	2/11	1.200895e-02	6.452902e-02	0	0	1.419986e+01	6.279322e+01	ZFP36;NOTCH4
GO_Biological_Process_2021	positive regulation of macrophage differentiation (GO:0045651)	2/11	1.200895e-02	6.452902e-02	0	0	1.419986e+01	6.279322e+01	LIF;PF4
GO_Biological_Process_2021	positive regulation of production of miRNAs involved in gene silencing by miRNA (GO:1903800)	2/11	1.200895e-02	6.452902e-02	0	0	1.419986e+01	6.279322e+01	BMP4;IL6
GO_Biological_Process_2021	positive regulation of transforming growth factor beta production (GO:0071636)	2/11	1.200895e-02	6.452902e-02	0	0	1.419986e+01	6.279322e+01	PTGS2;THBS1
GO_Biological_Process_2021	receptor signaling pathway via JAK-STAT (GO:0007259)	3/31	1.202782e-02	6.452902e-02	0	0	6.862029e+00	3.033382e+01	SOCS2;CCL2;CCR2
GO_Biological_Process_2021	regulation of developmental growth (GO:0048638)	3/31	1.202782e-02	6.452902e-02	0	0	6.862029e+00	3.033382e+01	OLFM1;AGR2;IGF1
GO_Biological_Process_2021	regulation of signal transduction (GO:0009966)	8/198	1.230682e-02	6.588682e-02	0	0	2.718717e+00	1.195584e+01	SOCS2;RGS2;RGS16;IGFBP2;RORA;CX3CL1;FGFR2;OVOL2
GO_Biological_Process_2021	regulation of anatomical structure morphogenesis (GO:0022603)	6/123	1.239113e-02	6.619883e-02	0	0	3.301788e+00	1.449741e+01	ARC;IL6;GPNMB;FLT4;TNFAIP3;FGFR2
GO_Biological_Process_2021	regulation of pathway-restricted SMAD protein phosphorylation (GO:0060393)	4/58	1.246334e-02	6.630603e-02	0	0	4.753328e+00	2.084317e+01	ACVRL1;BMP4;BMP2;GDF15
GO_Biological_Process_2021	positive regulation of protein binding (GO:0032092)	4/58	1.246334e-02	6.630603e-02	0	0	4.753328e+00	2.084317e+01	BMP4;CLDN5;CSF3;BMP2
GO_Biological_Process_2021	negative regulation of developmental growth (GO:0048640)	3/32	1.312254e-02	6.952215e-02	0	0	6.625070e+00	2.870924e+01	GDF15;SEMA3G;SLC6A4
GO_Biological_Process_2021	positive regulation of immune effector process (GO:0002699)	3/32	1.312254e-02	6.952215e-02	0	0	6.625070e+00	2.870924e+01	IL1B;MYB;CCR2
GO_Biological_Process_2021	response to reactive oxygen species (GO:0000302)	4/59	1.321065e-02	6.984339e-02	0	0	4.666667e+00	2.019142e+01	PLK3;JUN;HBB;FOS
GO_Biological_Process_2021	regulation of actin cytoskeleton organization (GO:0032956)	5/91	1.363750e-02	7.195057e-02	0	0	3.736942e+00	1.604991e+01	FAM107A;ABL2;GPM6B;RND1;RHOB
GO_Biological_Process_2021	negative regulation of cell growth (GO:0030308)	6/126	1.382538e-02	7.279077e-02	0	0	3.218750e+00	1.378027e+01	ACVRL1;SOX17;SEMA3G;WFDC1;AGTR2;MSX1
GO_Biological_Process_2021	negative regulation of nucleic acid-templated transcription (GO:1903507)	14/464	1.394536e-02	7.302705e-02	0	0	2.022222e+00	8.640164e+00	CEBPA;JUN;PDGFB;ARID5A;KLF4;PER2;BMP4;BMP2;NFIL3;ELF3;IRF1;MYB;CD38;HES1
GO_Biological_Process_2021	cellular response to fibroblast growth factor stimulus (GO:0044344)	5/92	1.424381e-02	7.302705e-02	0	0	3.693801e+00	1.570395e+01	NR4A1;ZFP36;EGR3;CCL2;FGFR2
GO_Biological_Process_2021	regulation of peptidyl-tyrosine phosphorylation (GO:0050730)	5/92	1.424381e-02	7.302705e-02	0	0	3.693801e+00	1.570395e+01	CSF3;IL6;PDGFB;LIF;IGF1
GO_Biological_Process_2021	digestive system development (GO:0055123)	2/12	1.426448e-02	7.302705e-02	0	0	1.277922e+01	5.431147e+01	FOXF1;FGFR2
GO_Biological_Process_2021	gas transport (GO:0015669)	2/12	1.426448e-02	7.302705e-02	0	0	1.277922e+01	5.431147e+01	HBB;AQP5
GO_Biological_Process_2021	smooth muscle cell differentiation (GO:0051145)	2/12	1.426448e-02	7.302705e-02	0	0	1.277922e+01	5.431147e+01	BMP4;EDNRB
GO_Biological_Process_2021	sphingoid metabolic process (GO:0046519)	2/12	1.426448e-02	7.302705e-02	0	0	1.277922e+01	5.431147e+01	SPHK1;SGPP1
GO_Biological_Process_2021	macrophage chemotaxis (GO:0048246)	2/12	1.426448e-02	7.302705e-02	0	0	1.277922e+01	5.431147e+01	EDNRB;CCL2
GO_Biological_Process_2021	phasic smooth muscle contraction (GO:0014821)	2/12	1.426448e-02	7.302705e-02	0	0	1.277922e+01	5.431147e+01	EDN1;EDNRB
GO_Biological_Process_2021	positive regulation of endoplasmic reticulum unfolded protein response (GO:1900103)	2/12	1.426448e-02	7.302705e-02	0	0	1.277922e+01	5.431147e+01	AGR2;BAX
GO_Biological_Process_2021	positive regulation of neuroinflammatory response (GO:0150078)	2/12	1.426448e-02	7.302705e-02	0	0	1.277922e+01	5.431147e+01	IL6;IL1B
GO_Biological_Process_2021	actin filament bundle assembly (GO:0051017)	3/33	1.427229e-02	7.302705e-02	0	0	6.403909e+00	2.721299e+01	FAM107A;NEDD9;PLS1
GO_Biological_Process_2021	actin filament bundle organization (GO:0061572)	3/33	1.427229e-02	7.302705e-02	0	0	6.403909e+00	2.721299e+01	FAM107A;NEDD9;PLS1
GO_Biological_Process_2021	regulation of interleukin-17 production (GO:0032660)	3/33	1.427229e-02	7.302705e-02	0	0	6.403909e+00	2.721299e+01	IL6;SPHK1;IL12A
GO_Biological_Process_2021	positive regulation of interleukin-8 production (GO:0032757)	4/61	1.478943e-02	7.552114e-02	0	0	4.502465e+00	1.897268e+01	IL6;IL1B;SERPINE1;TLR7
GO_Biological_Process_2021	regulation of activated T cell proliferation (GO:0046006)	3/34	1.547740e-02	7.825871e-02	0	0	6.197016e+00	2.583148e+01	IGFBP2;IGF1;AGER
GO_Biological_Process_2021	regulation of cell adhesion mediated by integrin (GO:0033628)	3/34	1.547740e-02	7.825871e-02	0	0	6.197016e+00	2.583148e+01	DPP4;SERPINE1;LIF
GO_Biological_Process_2021	negative regulation of extrinsic apoptotic signaling pathway via death domain receptors (GO:1902042)	3/34	1.547740e-02	7.825871e-02	0	0	6.197016e+00	2.583148e+01	SERPINE1;TNFAIP3;ICAM1
GO_Biological_Process_2021	phosphatidylinositol 3-kinase signaling (GO:0014065)	3/34	1.547740e-02	7.825871e-02	0	0	6.197016e+00	2.583148e+01	LTK;EDN1;IGF1
GO_Biological_Process_2021	interleukin-1-mediated signaling pathway (GO:0070498)	5/94	1.551018e-02	7.825871e-02	0	0	3.610425e+00	1.504197e+01	EGR1;IL1R2;IL1B;PELI1;MAP3K8
GO_Biological_Process_2021	negative regulation of cellular protein metabolic process (GO:0032269)	5/94	1.551018e-02	7.825871e-02	0	0	3.610425e+00	1.504197e+01	EDN1;EDNRB;ENC1;GZMB;TYMS
GO_Biological_Process_2021	regulation of protein kinase B signaling (GO:0051896)	8/207	1.571290e-02	7.912457e-02	0	0	2.594562e+00	1.077593e+01	CSF3;RAMP3;GDF15;PDGFB;THBS1;CX3CL1;FGFR2;HBEGF
GO_Biological_Process_2021	negative regulation of endopeptidase activity (GO:0010951)	4/63	1.648258e-02	8.154234e-02	0	0	4.349396e+00	1.785623e+01	SERPINB1;SERPINF1;SERPINE1;TIMP3
GO_Biological_Process_2021	negative regulation of peptidase activity (GO:0010466)	4/63	1.648258e-02	8.154234e-02	0	0	4.349396e+00	1.785623e+01	SERPINB1;SERPINF1;SERPINE1;TIMP3
GO_Biological_Process_2021	regulation of mitotic cell cycle spindle assembly checkpoint (GO:0090266)	2/13	1.668714e-02	8.154234e-02	0	0	1.161688e+01	4.754926e+01	CCNB1;DUSP1
GO_Biological_Process_2021	regulation of platelet-derived growth factor receptor signaling pathway (GO:0010640)	2/13	1.668714e-02	8.154234e-02	0	0	1.161688e+01	4.754926e+01	NDRG4;PTGIR
GO_Biological_Process_2021	regulation of receptor signaling pathway via STAT (GO:1904892)	2/13	1.668714e-02	8.154234e-02	0	0	1.161688e+01	4.754926e+01	IL6;HES1
GO_Biological_Process_2021	glucan biosynthetic process (GO:0009250)	2/13	1.668714e-02	8.154234e-02	0	0	1.161688e+01	4.754926e+01	PER2;PPP1R3C
GO_Biological_Process_2021	glycogen biosynthetic process (GO:0005978)	2/13	1.668714e-02	8.154234e-02	0	0	1.161688e+01	4.754926e+01	PER2;PPP1R3C
GO_Biological_Process_2021	response to UV-B (GO:0010224)	2/13	1.668714e-02	8.154234e-02	0	0	1.161688e+01	4.754926e+01	MSH2;IL12A
GO_Biological_Process_2021	negative regulation of adenylate cyclase activity (GO:0007194)	2/13	1.668714e-02	8.154234e-02	0	0	1.161688e+01	4.754926e+01	EDNRB;CCR2
GO_Biological_Process_2021	positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002824)	2/13	1.668714e-02	8.154234e-02	0	0	1.161688e+01	4.754926e+01	IL1B;CCR2
GO_Biological_Process_2021	regulation of blood circulation (GO:1903522)	3/35	1.673814e-02	8.154234e-02	0	0	6.003054e+00	2.455288e+01	PER2;KCNMB4;AGER
GO_Biological_Process_2021	cellular response to amyloid-beta (GO:1904646)	3/35	1.673814e-02	8.154234e-02	0	0	6.003054e+00	2.455288e+01	IGF1;AGER;ICAM1
GO_Biological_Process_2021	cellular response to hydrogen peroxide (GO:0070301)	3/35	1.673814e-02	8.154234e-02	0	0	6.003054e+00	2.455288e+01	IL6;TNFAIP3;RHOB
GO_Biological_Process_2021	cellular response to virus (GO:0098586)	3/35	1.673814e-02	8.154234e-02	0	0	6.003054e+00	2.455288e+01	IL6;BAX;IL12A
GO_Biological_Process_2021	response to estrogen (GO:0043627)	3/35	1.673814e-02	8.154234e-02	0	0	6.003054e+00	2.455288e+01	SLC34A2;KRT19;ARID5A
GO_Biological_Process_2021	negative regulation of epithelial cell migration (GO:0010633)	3/35	1.673814e-02	8.154234e-02	0	0	6.003054e+00	2.455288e+01	ACVRL1;STC1;THBS1
GO_Biological_Process_2021	negative regulation of Ras protein signal transduction (GO:0046580)	3/35	1.673814e-02	8.154234e-02	0	0	6.003054e+00	2.455288e+01	SPRY4;ABL2;RASIP1
GO_Biological_Process_2021	cellular transition metal ion homeostasis (GO:0046916)	5/96	1.684961e-02	8.192839e-02	0	0	3.530715e+00	1.441742e+01	MT2A;MT1M;MT1G;MT1X;MT4
GO_Biological_Process_2021	glycosaminoglycan biosynthetic process (GO:0006024)	5/97	1.754722e-02	8.515758e-02	0	0	3.492160e+00	1.411831e+01	CHSY1;IL1B;SDC1;HAS2;PRELP
GO_Biological_Process_2021	aortic valve development (GO:0003176)	3/36	1.805473e-02	8.679241e-02	0	0	5.820847e+00	2.336690e+01	BMP4;BMP2;TIE1
GO_Biological_Process_2021	regulation of cardiac muscle contraction (GO:0055117)	3/36	1.805473e-02	8.679241e-02	0	0	5.820847e+00	2.336690e+01	RGS2;PDE4B;STC1
GO_Biological_Process_2021	regulation of ossification (GO:0030278)	3/36	1.805473e-02	8.679241e-02	0	0	5.820847e+00	2.336690e+01	BMP4;BMP2;CHSY1
GO_Biological_Process_2021	endoderm formation (GO:0001706)	3/36	1.805473e-02	8.679241e-02	0	0	5.820847e+00	2.336690e+01	DUSP5;SOX17;DUSP1
GO_Biological_Process_2021	positive regulation of bone mineralization (GO:0030501)	3/36	1.805473e-02	8.679241e-02	0	0	5.820847e+00	2.336690e+01	BMP4;BMP2;GPM6B
GO_Biological_Process_2021	G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger (GO:0007187)	4/65	1.829241e-02	8.760375e-02	0	0	4.206365e+00	1.683080e+01	VIPR1;PTGIR;CCL2;AGTR2
GO_Biological_Process_2021	mitotic G1 DNA damage checkpoint signaling (GO:0031571)	4/65	1.829241e-02	8.760375e-02	0	0	4.206365e+00	1.683080e+01	PLK3;CCNB1;PCNA;BAX
GO_Biological_Process_2021	neutrophil degranulation (GO:0043312)	14/481	1.844817e-02	8.818365e-02	0	0	1.946886e+00	7.773508e+00	SERPINB1;IDH1;CTSZ;FPR1;HBB;GGH;SLC2A3;PTPRB;PRDX4;CEACAM6;NPC2;S100A12;PTX3;CTSC
GO_Biological_Process_2021	organic anion transport (GO:0015711)	5/99	1.899919e-02	8.917894e-02	0	0	3.417510e+00	1.354482e+01	SLC22A3;SLCO4A1;SLCO2A1;CA4;HBB
GO_Biological_Process_2021	embryonic organ development (GO:0048568)	4/66	1.924174e-02	8.917894e-02	0	0	4.138309e+00	1.634911e+01	NDRG4;SOX17;NES;FGFR2
GO_Biological_Process_2021	regulation of IRE1-mediated unfolded protein response (GO:1903894)	2/14	1.927125e-02	8.917894e-02	0	0	1.064827e+01	4.205151e+01	AGR2;BAX
GO_Biological_Process_2021	regulation of nitric-oxide synthase biosynthetic process (GO:0051769)	2/14	1.927125e-02	8.917894e-02	0	0	1.064827e+01	4.205151e+01	EDN1;CCL2
GO_Biological_Process_2021	endothelial cell differentiation (GO:0045446)	2/14	1.927125e-02	8.917894e-02	0	0	1.064827e+01	4.205151e+01	ACVRL1;TIE1
GO_Biological_Process_2021	renal absorption (GO:0070293)	2/14	1.927125e-02	8.917894e-02	0	0	1.064827e+01	4.205151e+01	HBB;HAS2
GO_Biological_Process_2021	heart process (GO:0003015)	2/14	1.927125e-02	8.917894e-02	0	0	1.064827e+01	4.205151e+01	RAMP3;NOX4
GO_Biological_Process_2021	sodium-independent organic anion transport (GO:0043252)	2/14	1.927125e-02	8.917894e-02	0	0	1.064827e+01	4.205151e+01	SLCO4A1;SLCO2A1
GO_Biological_Process_2021	vascular endothelial growth factor signaling pathway (GO:0038084)	2/14	1.927125e-02	8.917894e-02	0	0	1.064827e+01	4.205151e+01	FLT4;VEGFC
GO_Biological_Process_2021	vasodilation (GO:0042311)	2/14	1.927125e-02	8.917894e-02	0	0	1.064827e+01	4.205151e+01	AGTR2;KLF2
GO_Biological_Process_2021	negative regulation of cell activation (GO:0050866)	2/14	1.927125e-02	8.917894e-02	0	0	1.064827e+01	4.205151e+01	THBD;PDGFB
GO_Biological_Process_2021	negative regulation of cyclase activity (GO:0031280)	2/14	1.927125e-02	8.917894e-02	0	0	1.064827e+01	4.205151e+01	EDNRB;CCR2
GO_Biological_Process_2021	negative regulation of fibroblast growth factor receptor signaling pathway (GO:0040037)	2/14	1.927125e-02	8.917894e-02	0	0	1.064827e+01	4.205151e+01	SPRY4;THBS1
GO_Biological_Process_2021	negative regulation of neuroinflammatory response (GO:0150079)	2/14	1.927125e-02	8.917894e-02	0	0	1.064827e+01	4.205151e+01	IGF1;CX3CL1
GO_Biological_Process_2021	negative regulation of pri-miRNA transcription by RNA polymerase II (GO:1902894)	2/14	1.927125e-02	8.917894e-02	0	0	1.064827e+01	4.205151e+01	BMP4;PDGFB
GO_Biological_Process_2021	negative regulation of T cell differentiation (GO:0045581)	2/14	1.927125e-02	8.917894e-02	0	0	1.064827e+01	4.205151e+01	BMP4;IRF1
GO_Biological_Process_2021	neurotransmitter biosynthetic process (GO:0042136)	2/14	1.927125e-02	8.917894e-02	0	0	1.064827e+01	4.205151e+01	MOXD1;SLC6A4
GO_Biological_Process_2021	positive regulation of multicellular organismal process (GO:0051240)	11/345	1.928762e-02	8.917894e-02	0	0	2.132017e+00	8.417825e+00	PER2;BMP4;OLFM1;IL6;BMP2;IL4R;IL1B;SERPINE1;PDGFB;G0S2;CCR2
GO_Biological_Process_2021	regulation of protein autophosphorylation (GO:0031952)	3/37	1.942733e-02	8.933762e-02	0	0	5.649358e+00	2.226454e+01	GPNMB;PDGFD;PDGFB
GO_Biological_Process_2021	negative regulation of endothelial cell proliferation (GO:0001937)	3/37	1.942733e-02	8.933762e-02	0	0	5.649358e+00	2.226454e+01	CCL2;IL12A;THBS1
GO_Biological_Process_2021	positive regulation of calcium ion transport (GO:0051928)	3/37	1.942733e-02	8.933762e-02	0	0	5.649358e+00	2.226454e+01	PDGFB;STC1;CCL2
GO_Biological_Process_2021	neutrophil activation involved in immune response (GO:0002283)	14/485	1.965250e-02	9.020992e-02	0	0	1.929951e+00	7.583839e+00	SERPINB1;IDH1;CTSZ;FPR1;HBB;GGH;SLC2A3;PTPRB;PRDX4;CEACAM6;NPC2;S100A12;PTX3;CTSC
GO_Biological_Process_2021	positive regulation of catabolic process (GO:0009896)	4/67	2.022102e-02	9.259794e-02	0	0	4.072414e+00	1.588662e+01	TIPARP;IL1B;ASB9;TNFAIP3
GO_Biological_Process_2021	regulation of cell growth (GO:0001558)	8/217	2.024556e-02	9.259794e-02	0	0	2.469153e+00	9.629252e+00	ACVRL1;SOCS2;SOX17;SPHK1;FAM107A;WFDC1;AGTR2;MSX1
